Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied ,Vacant general and acute beds,General and acute beds available,Invasive ventilated bed occupied,Vacant invasive ventilated beds,Invasive ventilated beds available
01-Apr-20,111,486,597,353,950,23,34,57
02-Apr-20,122,492,614,352,966,25,32,57
03-Apr-20,124,446,570,385,955,26,31,57
04-Apr-20,122,371,493,441,934,29,23,52
05-Apr-20,134,424,558,378,936,27,25,52
06-Apr-20,156,372,528,408,936,31,21,52
07-Apr-20,160,373,533,403,936,32,28,60
08-Apr-20,178,364,542,417,959,29,31,60
09-Apr-20,160,359,519,417,936,30,30,60
10-Apr-20,156,330,486,474,960,31,29,60
11-Apr-20,178,323,501,431,932,28,32,60
12-Apr-20,174,320,494,438,932,31,29,60
13-Apr-20,170,319,489,438,927,33,27,60
14-Apr-20,171,367,538,390,928,29,32,61
15-Apr-20,161,355,516,411,927,29,31,60
16-Apr-20,156,368,524,403,927,28,32,60
17-Apr-20,163,362,525,402,927,28,32,60
18-Apr-20,154,331,485,420,905,28,32,60
19-Apr-20,146,338,484,421,905,28,32,60
20 Apr 2020 (1),138,390,528,377,905,28,32,60
21-Apr-20,123,408,531,374,905,26,34,60
22-Apr-20,115,387,502,403,905,27,33,60
23 Apr 2020 (2),179,523,702,431,1133,22,38,60
24-Apr-20,195,523,718,411,1129,26,34,60
25-Apr-20,171,518,689,441,1130,25,36,61
26-Apr-20,162,553,715,415,1130,24,36,60
27-Apr-20,157,551,708,422,1130,28,32,60
28-Apr-20,153,561,714,416,1130,26,34,60
29-Apr-20,155,566,721,386,1107,24,35,59
30-Apr-20,164,550,714,449,1163,21,38,59
01-May-20,162,569,731,306,1037,19,40,59
02-May-20,183,579,762,275,1037,20,39,59
03-May-20,150,587,737,277,1014,20,39,59
04-May-20,152,609,761,254,1015,19,40,59
05-May-20,174,603,777,231,1008,17,42,59
06-May-20,162,624,786,246,1032,18,41,59
07-May-20,157,645,802,229,1031,20,39,59
08-May-20,180,633,813,246,1059,19,40,59
09-May-20,176,600,776,284,1060,17,42,59
10-May-20,167,638,805,255,1060,14,45,59
11-May-20,163,639,802,272,1074,17,42,59
12-May-20,154,651,805,269,1074,16,43,59
13-May-20,174,638,812,262,1074,16,43,59
14-May-20,172,645,817,257,1074,17,42,59
15-May-20,148,644,792,282,1074,15,44,59
16-May-20,157,666,823,237,1060,19,40,59
17-May-20,149,685,834,226,1060,22,37,59
18-May-20,141,699,840,220,1060,19,40,59
19-May-20,181,671,852,232,1084,21,30,51
20-May-20,185,661,846,238,1084,22,29,51
21-May-20,171,678,849,235,1084,19,32,51
22-May-20,178,662,840,232,1072,20,31,51
23-May-20,199,674,873,211,1084,20,35,55
24-May-20,170,696,866,218,1084,20,35,55
25-May-20,157,697,854,214,1068,20,35,55
26 May 2020 (3),201,745,946,204,1150,21,34,55
27-May-20,217,745,962,183,1145,21,34,55
28-May-20,237,728,965,175,1140,19,36,55
29-May-20,209,725,934,220,1154,21,34,55
30-May-20,207,726,933,223,1156,16,39,55
31-May-20,200,748,948,210,1158,18,37,55
1 Jun 2020 (4),194,764,958,188,1146,19,36,55
02-Jun-20,203,718,921,219,1140,20,35,55
03-Jun-20,202,664,866,304,1170,18,37,55
4 Jun 2020 (5),184,720,916,282,1198,15,40,55
05-Jun-20,163,707,870,324,1194,18,37,55
06-Jun-20,179,674,853,321,1174,18,37,55
07-Jun-20,175,703,878,315,1193,15,40,55
08-Jun-20,161,775,936,226,1162,16,35,51
09-Jun-20,171,767,938,225,1163,17,34,51
10-Jun-20,171,741,912,258,1170,14,37,51
11-Jun-20,148,763,911,285,1196,14,37,51
12-Jun-20,148,740,888,298,1186,13,38,51
13-Jun-20,142,741,883,303,1186,14,37,51
14-Jun-20,127,736,863,323,1186,14,37,51
15-Jun-20,131,832,963,190,1153,17,34,51
16-Jun-20,137,838,975,183,1158,16,35,51
17-Jun-20,128,845,973,185,1158,15,36,51
18-Jun-20,114,862,976,173,1149,15,25,40
19-Jun-20,120,849,969,188,1157,15,25,40
20-Jun-20,94,884,978,189,1167,17,23,40
21-Jun-20,88,894,982,185,1167,16,24,40
22-Jun-20,96,912,1008,165,1173,17,23,40
23-Jun-20,93,904,997,172,1169,20,20,40
24-Jun-20,89,893,982,190,1172,21,19,40
25-Jun-20,96,884,980,213,1193,18,22,40
26-Jun-20,92,895,987,180,1167,19,21,40
27-Jun-20,65,943,1008,159,1167,19,21,40
28-Jun-20,79,924,1003,164,1167,15,25,40
29-Jun-20,82,965,1047,113,1160,17,23,40
30-Jun-20,67,937,1004,161,1165,20,20,40
01-Jul-20,56,906,962,199,1161,19,21,40
02-Jul-20,61,884,945,215,1160,16,24,40
03-Jul-20,60,891,951,215,1166,14,26,40
04-Jul-20,63,827,890,271,1161,13,39,52
05-Jul-20,50,925,975,193,1168,15,37,52
06-Jul-20,55,944,999,169,1168,14,38,52
07-Jul-20,45,961,1006,166,1172,13,39,52
08-Jul-20,53,954,1007,177,1184,15,37,52
09-Jul-20,54,931,985,177,1162,14,38,52
