Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied,Vacant general and acute beds,General and acute beds available,Invasive ventilated bed occupied,Vacant invasive ventilated beds,Invasive ventilated beds available
23-Apr-20,12,49,61,85,146,0,0,0
24-Apr-20,18,45,63,83,146,0,0,0
25-Apr-20,21,44,65,81,146,0,0,0
26-Apr-20,22,43,65,81,146,0,0,0
27-Apr-20,11,58,69,74,143,0,0,0
28-Apr-20,10,59,69,77,146,0,0,0
29-Apr-20,9,62,71,75,146,0,0,0
30-Apr-20,11,59,70,76,146,0,0,0
01-May-20,10,61,71,75,146,0,0,0
02-May-20,13,61,74,72,146,0,0,0
03-May-20,13,68,81,65,146,0,0,0
04-May-20,10,70,80,66,146,0,0,0
05-May-20,10,68,78,68,146,0,0,0
06-May-20,8,66,74,72,146,0,0,0
07-May-20,12,63,75,71,146,0,0,0
08-May-20,16,63,79,67,146,0,0,0
09-May-20,15,64,79,67,146,0,0,0
10-May-20,13,66,79,67,146,0,0,0
11-May-20,15,66,81,65,146,0,0,0
12-May-20,18,62,80,61,141,0,0,0
13-May-20,18,64,82,58,140,0,0,0
14-May-20,18,62,80,60,140,0,0,0
15-May-20,17,65,82,59,141,0,0,0
16-May-20,14,69,83,58,141,0,0,0
17-May-20,15,70,85,56,141,0,0,0
18-May-20,12,73,85,57,142,0,0,0
19-May-20,12,66,78,64,142,0,0,0
20-May-20,10,71,81,61,142,0,0,0
21-May-20,8,74,82,60,142,0,0,0
22-May-20,7,71,78,62,140,0,0,0
23-May-20,8,73,81,59,140,0,0,0
24-May-20,8,74,82,58,140,0,0,0
25-May-20,7,75,82,58,140,0,0,0
26 May 2020 (3),9,72,81,59,140,0,0,0
27-May-20,5,70,75,71,146,0,0,0
28-May-20,7,70,77,69,146,0,0,0
29-May-20,9,68,77,69,146,0,0,0
30-May-20,6,72,78,68,146,0,0,0
31-May-20,7,75,82,64,146,0,0,0
1 Jun 2020 (4),18,64,82,64,146,0,0,0
02-Jun-20,19,59,78,68,146,0,0,0
03-Jun-20,13,63,76,70,146,0,0,0
4 Jun 2020 (5),15,57,72,74,146,0,0,0
05-Jun-20,14,62,76,70,146,0,0,0
06-Jun-20,14,66,80,66,146,0,0,0
07-Jun-20,15,64,79,67,146,0,0,0
08-Jun-20,15,63,78,68,146,0,0,0
09-Jun-20,16,64,80,66,146,0,0,0
10-Jun-20,14,64,78,68,146,0,0,0
11-Jun-20,14,67,81,65,146,0,0,0
12-Jun-20,15,65,80,66,146,0,0,0
13-Jun-20,18,67,85,61,146,0,0,0
14-Jun-20,17,67,84,62,146,0,0,0
15-Jun-20,13,70,83,63,146,0,0,0
16-Jun-20,13,73,86,60,146,0,0,0
17-Jun-20,12,78,90,56,146,0,0,0
18-Jun-20,11,81,92,54,146,0,0,0
19-Jun-20,16,78,94,52,146,0,0,0
20-Jun-20,16,80,96,50,146,0,0,0
21-Jun-20,14,80,94,52,146,0,0,0
22-Jun-20,12,82,94,52,146,0,0,0
23-Jun-20,9,82,91,55,146,0,0,0
24-Jun-20,10,85,95,51,146,0,0,0
25-Jun-20,8,85,93,53,146,0,0,0
26-Jun-20,5,90,95,51,146,0,0,0
27-Jun-20,5,96,101,45,146,0,0,0
28-Jun-20,6,96,102,44,146,0,0,0
29-Jun-20,12,91,103,43,146,0,0,0
30-Jun-20,5,92,97,49,146,0,0,0
01-Jul-20,3,94,97,49,146,0,0,0
02-Jul-20,3,97,100,46,146,0,0,0
03-Jul-20,3,98,101,45,146,0,0,0
04-Jul-20,4,97,101,39,140,0,0,0
05-Jul-20,8,92,100,40,140,0,0,0
06-Jul-20,2,97,99,41,140,0,0,0
07-Jul-20,4,97,101,39,140,0,0,0
08-Jul-20,4,94,98,42,140,0,0,0
09-Jul-20,4,97,101,39,140,0,0,0
10 Jul 2020 (6),4,118,122,49,171,0,0,0
11-Jul-20,5,122,127,44,171,0,0,0
12-Jul-20,5,124,129,42,171,0,0,0
13-Jul-20,4,127,131,40,171,0,0,0
14-Jul-20,1,122,123,48,171,0,0,0
15-Jul-20,1,127,128,43,171,0,0,0
16-Jul-20,1,132,133,38,171,0,0,0
17-Jul-20,1,133,134,37,171,0,0,0
18-Jul-20,1,131,132,39,171,0,0,0
19-Jul-20,1,132,133,38,171,0,0,0
20-Jul-20,2,132,134,37,171,0,0,0
21-Jul-20,3,128,131,40,171,0,0,0
22-Jul-20,4,131,135,37,172,0,0,0
23-Jul-20,1,133,134,38,172,0,0,0
24-Jul-20,2,129,131,41,172,0,0,0
25-Jul-20,5,126,131,41,172,0,0,0
26-Jul-20,5,127,132,40,172,0,0,0
27-Jul-20,5,126,131,41,172,0,0,0
28-Jul-20,1,130,131,41,172,0,0,0
29-Jul-20,1,131,132,40,172,0,0,0
30-Jul-20,1,132,133,39,172,0,0,0
31-Jul-20,5,131,136,36,172,0,0,0
01-Aug-20,2,135,137,35,172,0,0,0
02-Aug-20,2,135,137,35,172,0,0,0
03-Aug-20,3,133,136,36,172,0,0,0
04-Aug-20,2,129,131,42,173,0,0,0
05-Aug-20,1,132,133,40,173,0,0,0
06-Aug-20,1,131,132,41,173,0,0,0
07-Aug-20,2,134,136,37,173,0,0,0
08-Aug-20,1,137,138,35,173,0,0,0
09-Aug-20,1,137,138,35,173,0,0,0
10-Aug-20,1,136,137,36,173,0,0,0
11-Aug-20,1,134,135,38,173,0,0,0
12-Aug-20,1,135,136,37,173,0,0,0
13-Aug-20,1,134,135,38,173,0,0,0
14-Aug-20,5,135,140,34,174,0,0,0
15-Aug-20,1,140,141,33,174,0,0,0
16-Aug-20,1,140,141,33,174,0,0,0
17-Aug-20,1,140,141,33,174,0,0,0
18-Aug-20,1,136,137,37,174,0,0,0
19-Aug-20,1,136,137,36,173,0,0,0
20-Aug-20,1,137,138,35,173,0,0,0
21-Aug-20,1,140,141,31,172,0,0,0
22-Aug-20,1,144,145,27,172,0,0,0
23-Aug-20,1,144,145,27,172,0,0,0
24-Aug-20,1,144,145,27,172,0,0,0
25-Aug-20,1,139,140,32,172,0,0,0
26-Aug-20,1,138,139,34,173,0,0,0
27-Aug-20,1,139,140,33,173,0,0,0
28-Aug-20,1,137,138,35,173,0,0,0
29-Aug-20,2,134,136,37,173,0,0,0
30-Aug-20,2,134,136,37,173,0,0,0
31-Aug-20,2,138,140,33,173,0,0,0
01-Sep-20,2,137,139,34,173,0,0,0
02-Sep-20,2,136,138,35,173,0,0,0
03-Sep-20,2,139,141,32,173,0,0,0
04-Sep-20,2,139,141,32,173,0,0,0
05-Sep-20,3,140,143,30,173,0,0,0
06-Sep-20,3,141,144,29,173,0,0,0
07-Sep-20,3,139,142,31,173,0,0,0
08-Sep-20,3,139,142,31,173,0,0,0
09-Sep-20,3,142,145,28,173,0,0,0
10-Sep-20,4,138,142,31,173,0,0,0
11-Sep-20,3,139,142,31,173,0,0,0
12-Sep-20,5,142,147,23,170,0,0,0
13-Sep-20,5,144,149,21,170,0,0,0
14-Sep-20,3,144,147,23,170,0,0,0
15-Sep-20,3,142,145,25,170,0,0,0
16-Sep-20,2,144,146,24,170,0,0,0
17-Sep-20,2,143,145,25,170,0,0,0
18-Sep-20,1,145,146,24,170,0,0,0
19-Sep-20,1,149,150,20,170,0,0,0
20-Sep-20,1,148,149,21,170,0,0,0
21-Sep-20,1,148,149,21,170,0,0,0
22-Sep-20,4,141,145,25,170,0,0,0
23-Sep-20,4,147,151,19,170,0,0,0
24-Sep-20,2,148,150,20,170,0,0,0
25-Sep-20,1,150,151,19,170,0,0,0
26-Sep-20,1,146,147,23,170,0,0,0
27-Sep-20,2,145,147,23,170,0,0,0
28-Sep-20,3,144,147,23,170,0,0,0
29-Sep-20,3,142,145,25,170,0,0,0
30-Sep-20,3,139,142,28,170,0,0,0
01-Oct-20,3,144,147,23,170,0,0,0
02-Oct-20,1,147,148,22,170,0,0,0
03-Oct-20,4,147,151,18,169,0,0,0
04-Oct-20,3,148,151,18,169,0,0,0
05-Oct-20,1,150,151,18,169,0,0,0
06-Oct-20,1,145,146,23,169,0,0,0
07-Oct-20,3,142,145,23,168,0,0,0
08-Oct-20,3,145,148,20,168,0,0,0
09-Oct-20,4,146,150,19,169,0,0,0
10-Oct-20,1,150,151,18,169,0,0,0
11-Oct-20,3,151,154,15,169,0,0,0
12-Oct-20,3,151,154,13,167,0,0,0
13-Oct-20,3,149,152,15,167,0,0,0
14-Oct-20,2,152,154,13,167,0,0,0
15-Oct-20,2,150,152,15,167,0,0,0
16-Oct-20,0,151,151,14,165,0,0,0
17-Oct-20,1,146,147,15,162,0,0,0
18-Oct-20,1,145,146,16,162,0,0,0
19-Oct 2020 (7),1,143,144,23,167,0,0,0
20-Oct-20,2,145,147,19,166,0,0,0
21-Oct-20,2,143,145,16,161,0,0,0
22-Oct-20,2,146,148,13,161,0,0,0
23-Oct-20,4,149,153,8,161,0,0,0
24-Oct-20,4,149,153,8,161,0,0,0
25-Oct-20,5,147,152,9,161,0,0,0
26-Oct-20,5,147,152,6,158,0,0,0
27-Oct-20,3,146,149,9,158,0,0,0
28-Oct-20,2,147,149,9,158,0,0,0
29-Oct-20,2,145,147,11,158,0,0,0
30-Oct-20,0,141,141,17,158,0,0,0
31-Oct-20,0,143,143,15,158,0,0,0
01-Nov-20,0,145,145,13,158,0,0,0
02-Nov-20,0,146,146,12,158,0,0,0
03-Nov-20,2,141,143,15,158,0,0,0
