Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied,Vacant general and acute beds,General and acute beds available,Invasive ventilated bed occupied,Vacant invasive ventilated beds,Invasive ventilated beds available
01-Apr-20,100,515,615,423,1038,33,58,91
02-Apr-20,119,536,655,366,1021,34,57,91
03-Apr-20,129,501,630,404,1034,37,54,91
04-Apr-20,123,565,688,257,945,35,56,91
05-Apr-20,155,519,674,128,802,32,59,91
06-Apr-20,155,398,553,193,746,38,53,91
07-Apr-20,168,389,557,73,630,40,69,109
08-Apr-20,184,325,509,254,763,40,69,109
09-Apr-20,194,351,545,222,767,43,71,114
10-Apr-20,233,362,595,133,728,43,20,63
11-Apr-20,180,290,470,291,761,27,36,63
12-Apr-20,200,147,347,440,787,44,19,63
13-Apr-20,200,307,507,175,682,41,21,62
14-Apr-20,199,344,543,171,714,43,20,63
15-Apr-20,207,318,525,183,708,40,23,63
16-Apr-20,220,147,367,342,709,31,32,63
17-Apr-20,198,330,528,182,710,49,14,63
18-Apr-20,192,336,528,188,716,42,21,63
19-Apr-20,191,334,525,204,729,45,18,63
20 Apr 2020 (1),196,349,545,220,765,45,18,63
21-Apr-20,195,310,505,279,784,45,24,69
22-Apr-20,191,331,522,270,792,38,31,69
23 Apr 2020 (2),176,296,472,349,821,35,34,69
24-Apr-20,185,294,479,344,823,34,35,69
25-Apr-20,175,342,517,324,841,32,37,69
26-Apr-20,177,361,538,300,838,28,41,69
27-Apr-20,166,332,498,324,822,31,38,69
28-Apr-20,153,306,459,360,819,30,39,69
29-Apr-20,147,363,510,313,823,31,38,69
30-Apr-20,158,421,579,267,846,28,41,69
01-May-20,144,412,556,275,831,27,42,69
02-May-20,136,379,515,316,831,29,40,69
03-May-20,135,352,487,344,831,31,38,69
04-May-20,133,417,550,310,860,32,37,69
05-May-20,123,447,570,289,859,34,35,69
06-May-20,115,432,547,310,857,32,37,69
07-May-20,92,459,551,306,857,27,42,69
08-May-20,82,457,539,318,857,20,49,69
09-May-20,109,465,574,279,853,19,50,69
10-May-20,95,492,587,254,841,20,49,69
11-May-20,91,527,618,223,841,22,27,49
12-May-20,74,518,592,279,871,23,26,49
13-May-20,59,519,578,277,855,20,29,49
14-May-20,55,550,605,270,875,22,27,49
15-May-20,46,522,568,276,844,21,28,49
16-May-20,51,503,554,292,846,20,29,49
17-May-20,52,503,555,314,869,23,26,49
18-May-20,55,507,562,305,867,25,21,46
19-May-20,46,518,564,305,869,24,22,46
20-May-20,24,548,572,297,869,23,23,46
21-May-20,51,542,593,276,869,17,29,46
22-May-20,54,499,553,316,869,20,26,46
23-May-20,49,484,533,294,827,22,24,46
24-May-20,34,519,553,299,852,25,13,38
25-May-20,29,541,570,283,853,22,16,38
26 May 2020 (3),70,525,595,261,856,20,18,38
27-May-20,81,526,607,230,837,21,17,38
28-May-20,72,526,598,243,841,34,4,38
29-May-20,89,543,632,209,841,28,15,43
30-May-20,91,562,653,188,841,26,20,46
31-May-20,72,558,630,214,844,28,18,46
1 Jun 2020 (4),67,588,655,189,844,34,12,46
02-Jun-20,58,557,615,229,844,25,21,46
03-Jun-20,62,566,628,216,844,33,13,46
4 Jun 2020 (5),72,552,624,233,857,24,22,46
05-Jun-20,83,535,618,223,841,27,19,46
06-Jun-20,99,497,596,235,831,25,21,46
07-Jun-20,80,522,602,229,831,24,22,46
08-Jun-20,43,600,643,194,837,23,23,46
09-Jun-20,46,616,662,176,838,24,22,46
10-Jun-20,40,616,656,181,837,22,24,46
11-Jun-20,38,622,660,177,837,24,22,46
12-Jun-20,44,639,683,159,842,22,24,46
13-Jun-20,43,607,650,203,853,24,19,43
14-Jun-20,40,628,668,185,853,24,19,43
15-Jun-20,38,640,678,125,803,25,4,29
16-Jun-20,39,636,675,128,803,24,5,29
17-Jun-20,39,641,680,123,803,25,4,29
18-Jun-20,29,644,673,145,818,25,4,29
19-Jun-20,33,645,678,136,814,25,4,29
20-Jun-20,41,662,703,116,819,25,4,29
21-Jun-20,44,661,705,114,819,26,3,29
22-Jun-20,58,674,732,87,819,26,3,29
23-Jun-20,38,675,713,111,824,25,4,29
24-Jun-20,31,643,674,150,824,26,3,29
25-Jun-20,20,672,692,134,826,28,1,29
26-Jun-20,37,660,697,129,826,27,2,29
27-Jun-20,22,634,656,170,826,26,3,29
28-Jun-20,30,655,685,130,815,24,5,29
29-Jun-20,31,666,697,118,815,26,3,29
