Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied,Vacant general and acute beds ,General and acute beds available,Invasive ventilated bed occupied ,Vacant invasive ventilated beds,Invasive ventilated beds available
1 Apr 2020 ,782,2828,3610,2945,6555,148,182,330
2 Apr 2020 ,755,2861,3616,2945,6561,161,174,335
3 Apr 2020 ,801,2648,3449,3115,6564,169,179,348
4 Apr 2020 ,793,2389,3182,3304,6486,182,174,356
5 Apr 2020 ,859,2497,3356,2855,6211,175,182,357
6 Apr 2020 ,907,2445,3352,2821,6173,188,181,369
7 Apr 2020 ,910,2395,3305,2851,6156,197,205,402
8 Apr 2020 ,1010,2262,3272,3041,6313,202,208,410
9 Apr 2020 ,1007,2214,3221,3078,6299,210,211,421
10 Apr 2020 ,1069,2156,3225,3037,6262,213,161,374
11 Apr 2020 ,1059,2078,3137,3122,6259,190,192,382
12 Apr 2020 ,1104,1908,3012,3241,6253,210,172,382
13 Apr 2020 ,1032,2104,3136,3035,6171,214,173,387
14 Apr 2020 ,1040,2203,3243,2968,6211,207,182,389
15 Apr 2020 ,1059,2192,3251,2940,6191,200,195,395
16 Apr 2020 ,1072,1961,3033,3200,6233,191,204,395
17 Apr 2020 ,1068,2203,3271,2927,6198,216,179,395
18 Apr 2020 ,1085,2184,3269,2933,6202,210,185,395
19 Apr 2020 ,1041,2253,3294,2921,6215,209,186,395
20 Apr 2020 (1),1032,2425,3457,3127,6584,204,191,395
21 Apr 2020 ,989,2394,3383,3183,6566,194,209,403
22 Apr 2020 ,976,2392,3368,3209,6577,186,207,393
23 Apr 2020 (2),1209,3009,4218,3901,8119,179,214,393
24 Apr 2020 ,1193,3086,4279,3849,8128,175,209,384
25 Apr 2020 ,1221,3203,4424,3944,8368,185,200,385
26 Apr 2020 ,1201,3314,4515,3882,8397,171,213,384
27 Apr 2020 ,1197,3348,4545,3758,8303,170,223,393
28 Apr 2020 ,1162,3348,4510,3586,8096,166,220,386
29 Apr 2020 ,1135,3452,4587,3439,8026,163,222,385
30 Apr 2020 ,1163,3459,4622,3777,8399,164,221,385
1 May 2020 ,1012,3602,4614,3595,8209,154,231,385
